loss,mae,mse,val_loss,val_mae,val_mse,lr
0.7204594016075134,1.122821569442749,2.178493022918701,0.3338334262371063,0.6880467534065247,0.8130400776863098,0.001
0.5609228610992432,0.943429172039032,1.5557762384414673,0.3213897943496704,0.6696588397026062,0.778934121131897,0.001
0.4987129271030426,0.8711785674095154,1.3748362064361572,0.31302300095558167,0.6548842787742615,0.7620029449462891,0.001
0.4760840833187103,0.8433310389518738,1.30729079246521,0.29291561245918274,0.6203105449676514,0.7186427712440491,0.001
0.4428870677947998,0.8023626208305359,1.1938698291778564,0.28789061307907104,0.6101629137992859,0.7084609270095825,0.001
0.4300825297832489,0.7891255021095276,1.1617408990859985,0.27973711490631104,0.5948848128318787,0.6887558698654175,0.001
0.4271102249622345,0.7851842641830444,1.1486735343933105,0.28486230969429016,0.6035603880882263,0.7014310956001282,0.001
0.42117172479629517,0.7781520485877991,1.1377696990966797,0.2832079529762268,0.5996195673942566,0.6983714699745178,0.001
0.4173400402069092,0.772011399269104,1.12708580493927,0.2767336070537567,0.586704432964325,0.6835820078849792,0.001
0.4185352623462677,0.7729710340499878,1.1283059120178223,0.27478429675102234,0.583778440952301,0.6778092384338379,0.001
0.4128166735172272,0.7660076022148132,1.1140421628952026,0.2778211832046509,0.5884333848953247,0.686907947063446,0.001
0.4114398658275604,0.7644071578979492,1.1065382957458496,0.2744361162185669,0.5813495516777039,0.6778189539909363,0.001
0.41113749146461487,0.7660459876060486,1.1048709154129028,0.273882120847702,0.583423912525177,0.6739590764045715,0.001
0.40826326608657837,0.7607020139694214,1.0997042655944824,0.2729290723800659,0.5808636546134949,0.6742952466011047,0.001
0.40853720903396606,0.7608640789985657,1.0994369983673096,0.2727818787097931,0.5811976194381714,0.674812376499176,0.001
0.40515729784965515,0.756949782371521,1.09136962890625,0.27639466524124146,0.5866991877555847,0.6833927631378174,0.001
0.403643935918808,0.755856454372406,1.0862034559249878,0.2756161093711853,0.5859709978103638,0.6806004047393799,0.001
0.4026011526584625,0.7541242837905884,1.0789374113082886,0.2772085964679718,0.5895934700965881,0.6839474439620972,0.001
0.40264713764190674,0.7529882192611694,1.0823107957839966,0.2756715416908264,0.5831725597381592,0.682220458984375,0.001
0.4000968933105469,0.7498151063919067,1.078296184539795,0.2755092680454254,0.5849683284759521,0.6781450510025024,0.001
0.39908891916275024,0.7482550740242004,1.0703339576721191,0.2779042422771454,0.5899791717529297,0.6843700408935547,0.001
0.4010730981826782,0.7515096664428711,1.0790414810180664,0.275004118680954,0.5856273174285889,0.6781415343284607,0.001
0.39734315872192383,0.7464714050292969,1.0687286853790283,0.28176093101501465,0.5998204350471497,0.6943439245223999,0.001
0.3969600796699524,0.7456689476966858,1.064842939376831,0.28645646572113037,0.6076653599739075,0.7050638794898987,0.001
0.39579951763153076,0.7457535862922668,1.063157558441162,0.28360238671302795,0.606930673122406,0.6951841115951538,0.001
0.38821855187416077,0.7345839142799377,1.0415164232254028,0.2804771065711975,0.5989963412284851,0.6893478631973267,0.0005
0.3852565586566925,0.7305423617362976,1.0305140018463135,0.2825227677822113,0.6037858128547668,0.6918054819107056,0.0005
0.3817216753959656,0.7262115478515625,1.0229315757751465,0.28505009412765503,0.6085504293441772,0.6953163146972656,0.0005
0.38307902216911316,0.7275017499923706,1.0225151777267456,0.2903125286102295,0.6171632409095764,0.7100356221199036,0.0005
0.38294997811317444,0.7287404537200928,1.0221058130264282,0.2848663926124573,0.6056376695632935,0.697243332862854,0.0005
