date,open,high,low,close,volume,dividends,stock_splits,coin
2023-11-23 00:00:00+00:00,14.232728004455566,14.789417266845703,14.172412872314451,14.402031898498535,587203129,0.0,0.0,LINK
2023-11-24 00:00:00+00:00,14.402276992797852,14.758118629455566,14.28989315032959,14.46033000946045,484485830,0.0,0.0,LINK
2023-11-25 00:00:00+00:00,14.46083164215088,14.934152603149414,14.44787311553955,14.756277084350586,401143324,0.0,0.0,LINK
2023-11-26 00:00:00+00:00,14.757086753845217,15.283394813537598,14.563508987426758,14.789013862609863,534766653,0.0,0.0,LINK
2023-11-27 00:00:00+00:00,14.787519454956056,15.242313385009766,13.937414169311523,14.20132827758789,629034297,0.0,0.0,LINK
2023-11-28 00:00:00+00:00,14.200359344482422,14.672588348388672,13.832695960998535,14.519681930541992,602325961,0.0,0.0,LINK
2023-11-29 00:00:00+00:00,14.519965171813965,14.959171295166016,14.450840950012209,14.511725425720217,535989113,0.0,0.0,LINK
2023-11-30 00:00:00+00:00,14.51296329498291,14.794313430786133,14.309826850891112,14.404431343078612,519218596,0.0,0.0,LINK
2023-12-01 00:00:00+00:00,14.404644966125488,15.015857696533203,14.30939483642578,14.98322868347168,515864142,0.0,0.0,LINK
2023-12-02 00:00:00+00:00,14.982871055603027,16.168455123901367,14.940643310546877,15.994240760803224,693342917,0.0,0.0,LINK
2023-12-03 00:00:00+00:00,15.993650436401367,16.249324798583984,15.74077320098877,15.7426118850708,549786104,0.0,0.0,LINK
2023-12-04 00:00:00+00:00,15.741615295410156,16.350549697875977,15.466705322265623,15.764348983764648,981896557,0.0,0.0,LINK
2023-12-05 00:00:00+00:00,15.769146919250488,16.020591735839844,15.222803115844728,15.720780372619627,656438313,0.0,0.0,LINK
2023-12-06 00:00:00+00:00,15.721412658691406,16.122791290283203,15.29030704498291,15.29030704498291,702626733,0.0,0.0,LINK
2023-12-07 00:00:00+00:00,15.292208671569824,15.781214714050291,14.827383041381836,15.712053298950195,778907366,0.0,0.0,LINK
2023-12-08 00:00:00+00:00,15.711419105529783,17.103321075439453,15.595531463623049,16.942026138305664,988810739,0.0,0.0,LINK
2023-12-09 00:00:00+00:00,16.938854217529297,17.26832389831543,16.160245895385742,16.218416213989258,865532067,0.0,0.0,LINK
2023-12-10 00:00:00+00:00,16.221242904663086,16.432838439941406,15.888251304626465,16.333545684814453,458733835,0.0,0.0,LINK
2023-12-11 00:00:00+00:00,16.33810806274414,16.421165466308594,14.312495231628418,14.76536464691162,1146416406,0.0,0.0,LINK
2023-12-12 00:00:00+00:00,14.765403747558594,15.114489555358888,14.226643562316896,14.521307945251465,604737208,0.0,0.0,LINK
2023-12-13 00:00:00+00:00,14.521306037902832,14.915492057800291,13.975855827331545,14.778791427612305,643456906,0.0,0.0,LINK
2023-12-14 00:00:00+00:00,14.77792739868164,15.51260471343994,14.668207168579102,15.393107414245604,716806418,0.0,0.0,LINK
2023-12-15 00:00:00+00:00,15.393260955810549,15.393260955810549,14.327272415161133,14.327272415161133,489878330,0.0,0.0,LINK
2023-12-16 00:00:00+00:00,14.32780933380127,14.76237678527832,14.198896408081056,14.318156242370604,369999033,0.0,0.0,LINK
2023-12-17 00:00:00+00:00,14.31942081451416,14.34474754333496,13.949809074401855,14.020898818969728,336120331,0.0,0.0,LINK
2023-12-18 00:00:00+00:00,14.018386840820312,14.64920425415039,13.704800605773926,14.645723342895508,691112282,0.0,0.0,LINK
2023-12-19 00:00:00+00:00,14.647416114807127,14.779111862182615,13.983527183532717,14.095596313476562,412165750,0.0,0.0,LINK
2023-12-20 00:00:00+00:00,14.095105171203612,14.781496047973633,14.026620864868164,14.225022315979004,446154609,0.0,0.0,LINK
2023-12-21 00:00:00+00:00,14.227266311645508,15.28655242919922,14.20758056640625,15.28655242919922,612613684,0.0,0.0,LINK
2023-12-22 00:00:00+00:00,15.287428855895996,15.6690673828125,15.128263473510742,15.497312545776367,598902011,0.0,0.0,LINK
2023-12-23 00:00:00+00:00,15.496829986572266,15.86966323852539,14.965622901916504,15.687339782714844,560613729,0.0,0.0,LINK
2023-12-24 00:00:00+00:00,15.688363075256348,15.91864776611328,15.255575180053713,15.31032657623291,571354195,0.0,0.0,LINK
2023-12-25 00:00:00+00:00,15.308767318725586,15.702865600585938,15.181657791137695,15.608394622802734,459143712,0.0,0.0,LINK
2023-12-26 00:00:00+00:00,15.607924461364746,15.853294372558594,14.59925937652588,15.090892791748049,590842109,0.0,0.0,LINK
2023-12-27 00:00:00+00:00,15.091047286987305,16.672073364257812,14.708950996398926,16.672073364257812,795330265,0.0,0.0,LINK
2023-12-28 00:00:00+00:00,16.67852210998535,17.543703079223633,16.040952682495117,16.051332473754883,1136588734,0.0,0.0,LINK
2023-12-29 00:00:00+00:00,16.048738479614258,16.20697593688965,15.256011962890623,15.533926010131836,641252306,0.0,0.0,LINK
2023-12-30 00:00:00+00:00,15.533536911010742,15.612436294555664,15.080486297607422,15.19324779510498,304404383,0.0,0.0,LINK
2023-12-31 00:00:00+00:00,15.19114875793457,15.48153591156006,14.901456832885742,14.946123123168944,346636245,0.0,0.0,LINK
2024-01-01 00:00:00+00:00,14.946928024291992,15.559929847717283,14.874287605285645,15.535808563232422,319817917,0.0,0.0,LINK
2024-01-02 00:00:00+00:00,15.53764820098877,16.04694938659668,15.118124008178713,15.165292739868164,500000291,0.0,0.0,LINK
2024-01-03 00:00:00+00:00,15.165781021118164,15.548996925354004,13.309148788452148,14.150558471679688,861494361,0.0,0.0,LINK
2024-01-04 00:00:00+00:00,14.150727272033691,14.75055980682373,14.032012939453123,14.5540189743042,428122958,0.0,0.0,LINK
2024-01-05 00:00:00+00:00,14.554085731506348,14.642992973327637,13.85768985748291,14.065112113952637,591619366,0.0,0.0,LINK
2024-01-06 00:00:00+00:00,14.067513465881348,14.094762802124023,13.267943382263184,13.42838191986084,379600087,0.0,0.0,LINK
2024-01-07 00:00:00+00:00,13.426657676696776,13.714838027954102,13.05752182006836,13.140296936035156,310835368,0.0,0.0,LINK
2024-01-08 00:00:00+00:00,13.141215324401855,14.38736343383789,12.648887634277344,14.156993865966797,553717423,0.0,0.0,LINK
2024-01-09 00:00:00+00:00,14.157729148864746,14.242671966552734,13.39568328857422,13.705975532531738,546517541,0.0,0.0,LINK
2024-01-10 00:00:00+00:00,13.706121444702148,15.310247421264648,13.595141410827637,15.031819343566896,661542902,0.0,0.0,LINK
2024-01-11 00:00:00+00:00,15.035154342651367,15.656933784484863,14.633432388305664,15.032686233520508,697822804,0.0,0.0,LINK
2024-01-12 00:00:00+00:00,15.031190872192385,15.281560897827148,13.76581573486328,14.134305000305176,577192494,0.0,0.0,LINK
2024-01-13 00:00:00+00:00,14.131388664245604,14.421743392944336,13.853371620178224,14.36403465270996,299419280,0.0,0.0,LINK
2024-01-14 00:00:00+00:00,14.36369514465332,15.354286193847656,14.301936149597168,14.79709243774414,663453857,0.0,0.0,LINK
2024-01-15 00:00:00+00:00,14.792351722717283,15.995445251464844,14.77641773223877,15.195074081420898,707218360,0.0,0.0,LINK
2024-01-16 00:00:00+00:00,15.193633079528809,15.34381103515625,14.789871215820312,15.261761665344238,387299706,0.0,0.0,LINK
2024-01-17 00:00:00+00:00,15.26165771484375,16.33771514892578,15.261645317077637,15.730317115783691,803102010,0.0,0.0,LINK
2024-01-18 00:00:00+00:00,15.732048034667969,15.745418548583984,14.2490234375,14.64999294281006,610064426,0.0,0.0,LINK
2024-01-19 00:00:00+00:00,14.649868965148926,16.320892333984375,14.486666679382324,16.04130744934082,826092587,0.0,0.0,LINK
